score,decision,prep,n_obs,source_dataset,source_food_id,description,reasons
0.0,drop,other,16,fdc_sr_legacy,174556,"CAMPBELL'S CHUNKY, New England Clam Chowder",-brand -dish/prepared
0.0,drop,other,28,fdc_sr_legacy,170299,"Fast foods, submarine sandwich, tuna on white bread with lettuce and tomato",-fastfood/babyfood/restaurant -dish/prepared
0.0,drop,other,28,sr28,21214,"SUBWAY, tuna sub on white bread with lettuce and tomato",-brand -dish/prepared
0.0,drop,other,30,fdc_sr_legacy,168080,"Restaurant, Chinese, shrimp and vegetables",-fastfood/babyfood/restaurant
0.0,drop,other,19,fdc_sr_legacy,170330,"BURGER KING, Premium Fish Sandwich",-brand -dish/prepared
0.0,drop,other,19,sr28,21258,"BURGER KING, Premium Fish Sandwich",-brand -dish/prepared
0.0,drop,other,25,sr28,21106,"Fast foods, fish sandwich, with tartar sauce and cheese",-fastfood/babyfood/restaurant -dish/prepared -multi-ingredient
0.0,drop,other,28,fdc_sr_legacy,170316,"SUBWAY, tuna sub on white bread with lettuce and tomato",-brand -dish/prepared
0.0,drop,other,25,sr28,21105,"Fast foods, fish sandwich, with tartar sauce",-fastfood/babyfood/restaurant -dish/prepared -multi-ingredient
0.0,drop,other,13,sr28,6545,CAMPBELL'S Homestyle New England Clam Chowder,-brand -dish/prepared
0.0,drop,other,19,fdc_sr_legacy,170297,"Fast foods, fish sandwich, with tartar sauce and cheese",-fastfood/babyfood/restaurant -dish/prepared -multi-ingredient
0.0,drop,other,16,sr28,6431,"CAMPBELL'S CHUNKY, New England Clam Chowder",-brand -dish/prepared
0.0,drop,other,19,fdc_sr_legacy,170296,"Fast foods, fish sandwich, with tartar sauce",-fastfood/babyfood/restaurant -dish/prepared -multi-ingredient
0.0,drop,other,30,sr28,36620,"Restaurant, Chinese, shrimp and vegetables",-fastfood/babyfood/restaurant
0.0,drop,other,28,sr28,21126,"Fast foods, submarine sandwich, tuna on white bread with lettuce and tomato",-fastfood/babyfood/restaurant -dish/prepared
0.05,drop,other,11,fdc_sr_legacy,173610,"Margarine-like spread, SMART BALANCE Omega Plus Spread (with plant sterols & fish oil)",-brand
0.05,drop,other,3,sr28,15138,"Crustaceans, crab, alaska king, imitation, made from surimi",-imitation
0.05,drop,other,23,fdc_sr_legacy,175056,"Crackers, saltines, low salt (includes oyster, soda, soup)",-dish/prepared
0.05,drop,other,19,sr28,36606,"CRACKER BARREL, farm raised catfish platter",-dish/prepared
0.05,drop,other,23,sr28,18425,"Crackers, saltines, low salt (includes oyster, soda, soup)",-dish/prepared
0.05,drop,other,28,fdc_sr_legacy,172746,"Crackers, saltines (includes oyster, soda, soup)",-dish/prepared
0.05,drop,other,11,sr28,15153,"Crustaceans, shrimp, mixed species, imitation, made from surimi",-imitation
0.05,drop,other,28,sr28,18228,"Crackers, saltines (includes oyster, soda, soup)",-dish/prepared
0.05,drop,other,26,fdc_sr_legacy,174098,"Crackers, flavored, fish-shaped",-dish/prepared
0.05,drop,other,26,sr28,28331,"Crackers, flavored, fish-shaped",-dish/prepared
0.05,drop,other,11,sr28,4677,"Margarine-like spread, SMART BALANCE Omega Plus Spread (with plant sterols & fish oil)",-brand
0.05,drop,other,19,fdc_sr_legacy,168075,"CRACKER BARREL, farm raised catfish platter",-dish/prepared
0.05,drop,other,10,sr28,15174,"Mollusks, scallop, mixed species, imitation, made from surimi",-imitation
0.65,keep,other,13,fdc_foundation,2747673,"Tuna, ahi or yellowfin, frozen, wild caught",
0.65,keep,other,14,fdc_foundation,2747670,"Snow crab, legs only, frozen",
0.65,keep,other,8,sr28,35158,"Fish, whitefish, eggs (Alaska Native)",
0.65,keep,other,14,fdc_foundation,2747657,"Lobster, tail only, frozen, wild caught",
0.65,keep,other,11,fdc_foundation,2747656,"Halibut, frozen, wild caught",
0.65,keep,other,31,sr28,15027,"Fish, fish sticks, frozen, prepared",
0.65,keep,other,15,fdc_foundation,2684446,"Crustaceans, crab, blue swimming, lump, pasteurized, refrigerated",
0.65,keep,other,28,sr28,36018,"APPLEBEE'S, fish, hand battered",
0.65,keep,other,13,fdc_foundation,2747671,"Squid (calamari), frozen, tubes only",
0.65,keep,other,11,fdc_foundation,2747668,"Sea bass, Chilean, frozen, wild caught",
0.65,keep,other,28,fdc_sr_legacy,169017,"APPLEBEE'S, fish, hand battered",
0.65,keep,other,12,fdc_foundation,2747654,"Cod, Pacific or Alaskan, frozen, wild caught",
0.65,keep,other,31,fdc_sr_legacy,174195,"Fish, fish sticks, frozen, prepared",
0.65,keep,other,8,fdc_sr_legacy,167643,"Fish, whitefish, eggs (Alaska Native)",
0.65,keep,other,10,sr28,15109,"Fish, surimi",
0.65,keep,other,13,fdc_foundation,2747669,"Snapper, frozen, wild caught",
0.75,keep,other,19,sr28,21232,"McDONALD'S, FILET-O-FISH",+cut/part
0.75,keep,other,19,fdc_sr_legacy,170319,"McDONALD'S, FILET-O-FISH",+cut/part
0.9,keep,raw,11,sr28,15107,"Fish, sucker, white, raw",+raw
0.9,keep,raw,16,sr28,15270,"Crustaceans, shrimp, raw (not previously frozen)",+raw
0.9,keep,raw,8,sr28,15154,"Crustaceans, spiny lobster, mixed species, raw",+raw
0.9,keep,raw,11,sr28,15043,"Fish, herring, Pacific, raw",+raw
0.9,keep,raw,6,sr28,15049,"Fish, mackerel, king, raw",+raw
0.9,keep,raw,18,sr28,15078,"Fish, salmon, chinook, raw",+raw
0.9,keep,raw,5,sr28,15091,"Fish, sea bass, mixed species, raw",+raw
0.9,keep,raw,6,sr28,15175,"Mollusks, squid, mixed species, raw",+raw
0.9,keep,raw,4,sr28,15003,"Fish, bass, fresh water, mixed species, raw",+raw
0.9,keep,raw,27,fdc_sr_legacy,173684,"Fish, rockfish, Pacific, mixed species, raw",+raw
0.9,keep,raw,21,sr28,15115,"Fish, trout, rainbow, wild, raw",+raw
0.9,keep,raw,25,sr28,15261,"Fish, tilapia, raw",+raw
0.9,keep,raw,27,fdc_sr_legacy,167638,"Fish, halibut, raw, with skin (Alaska Native)",+raw
0.9,keep,raw,13,sr28,15068,"Fish, pompano, florida, raw",+raw
0.9,keep,raw,28,sr28,15019,"Fish, cod, Pacific, raw (may have been previously frozen)",+raw
0.9,keep,raw,11,sr28,15031,"Fish, grouper, mixed species, raw",+raw
0.9,keep,raw,6,sr28,15090,"Fish, scup, raw",+raw
0.9,keep,raw,16,sr28,15266,"Fish, pollock, Alaska, raw (not previously frozen)",+raw
0.9,keep,raw,23,fdc_foundation,333374,"Fish, haddock, raw",+raw
0.9,keep,raw,5,sr28,15023,"Fish, mahimahi, raw",+raw
0.9,keep,raw,24,fdc_foundation,333476,"Fish, pollock, raw",+raw
0.9,keep,raw,19,fdc_foundation,2684444,"Fish, cod, Atlantic, wild caught, raw",+raw
0.9,keep,raw,11,sr28,15093,"Fish, seatrout, mixed species, raw",+raw
0.9,keep,raw,22,sr28,15039,"Fish, herring, Atlantic, raw",+raw
0.9,keep,raw,19,sr28,15081,"Fish, salmon, coho, wild, raw",+raw
0.9,keep,raw,6,sr28,15103,"Fish, spot, raw",+raw
0.9,keep,raw,13,sr28,15123,"Fish, tuna, fresh, skipjack, raw",+raw
0.9,keep,raw,15,sr28,15143,"Crustaceans, crab, dungeness, raw",+raw
0.9,keep,raw,27,fdc_sr_legacy,174200,"Fish, halibut, Atlantic and Pacific, raw",+raw
0.9,keep,raw,18,fdc_foundation,2684442,"Fish, tilapia, farm raised, raw",+raw
0.9,keep,raw,19,fdc_foundation,2684440,"Fish, salmon, sockeye, wild caught, raw",+raw
0.9,keep,raw,24,fdc_sr_legacy,175181,"Fish, trout, brook, raw, New York State",+raw
0.9,keep,raw,10,sr28,15171,"Mollusks, oyster, Pacific, raw",+raw
0.9,keep,raw,29,fdc_sr_legacy,174210,"Crustaceans, shrimp, mixed species, raw (may contain additives to retain moisture)",+raw
0.9,keep,raw,11,sr28,15099,"Fish, smelt, rainbow, raw",+raw
0.9,keep,raw,11,sr28,15045,"Fish, lingcod, raw",+raw
0.9,keep,raw,41,fdc_foundation,2768188,"Alaska Pollock, raw",+raw
0.9,keep,raw,6,sr28,15114,"Fish, trout, mixed species, raw",+raw
0.9,keep,raw,21,sr28,15238,"Fish, salmon, coho, farmed, raw",+raw
0.9,keep,raw,17,sr28,15062,"Fish, pike, northern, raw",+raw
0.9,keep,raw,13,sr28,15097,"Fish, sheepshead, raw",+raw
0.9,keep,raw,26,fdc_sr_legacy,173691,"Fish, salmon, sockeye, raw",+raw
0.9,keep,raw,8,fdc_sr_legacy,168047,"Fish, salmon, king (chinook), raw (Alaska Native)",+raw
0.9,keep,raw,8,sr28,15007,"Fish, butterfish, raw",+raw
0.9,keep,raw,17,sr28,15268,"Fish, cod, Pacific, raw (not previously frozen)",+raw
0.9,keep,raw,27,sr28,15083,"Fish, salmon, pink, raw",+raw
0.9,keep,raw,5,sr28,15025,"Fish, eel, mixed species, raw",+raw
0.9,keep,raw,27,fdc_sr_legacy,175130,"Fish, pollock, Alaska, raw (may contain additives to retain moisture)",+raw
0.9,keep,raw,27,sr28,15070,"Fish, rockfish, Pacific, mixed species, raw",+raw
0.9,keep,raw,10,sr28,15108,"Fish, sunfish, pumpkin seed, raw",+raw
0.9,keep,raw,27,fdc_sr_legacy,173703,"Fish, swordfish, raw",+raw
0.9,keep,raw,26,sr28,15236,"Fish, salmon, Atlantic, farmed, raw",+raw
0.9,keep,raw,24,sr28,15274,"Fish, trout, brook, raw, New York State",+raw
0.9,keep,raw,28,fdc_sr_legacy,174214,"Mollusks, clam, mixed species, raw",+raw
