Nutrient,Retention (%),Notes
Crude Protein,100%,Protein is not destroyed by poaching at safe temps; concentrates slightly due to moisture loss. ScienceDirect/Bailey et al. 2020: protein digestibility maintained at <100°C.
Total Fat,95%,Minor lipid oxidation at low temperatures; fat can drip into water but is recovered. USDA Retn06 chicken simmered w/drippings = 100%.
Carbohydrate,100%,Not heat-labile; gelatinization changes form but not content. USDA Retn06: 100%.
Ash,100%,Minerals not destroyed by heat; leaching into water is the only loss mechanism (retained since water is used). USDA Retn06: 100%.
Energy,98%,Represents sum of macronutrients; minor losses from fat oxidation only. USDA Retn06 ≈ 100%.
Water,100%,"Water content changes with cooking; this is a formulation input, not a retention factor."
Crude Fiber,100%,Not heat-destroyed; softens structurally but content is unchanged.
Calcium,100%,Heat-stable mineral. USDA Retn06 chicken simmered w/drippings = 100%.
Chloride,100%,"Heat-stable; if water is retained, no loss. USDA Retn06 = 100%."
Iron,100%,"Heat-stable. USDA Retn06 chicken simmered w/drippings = 100%. Studies on veal confirm no significant difference between cooking methods (Prates et al., 2014, Meat Science)."
Magnesium,100%,"Heat-stable. USDA Retn06 = 100% w/drippings. Without water retention, boiling causes losses; with water retained, effectively 100%."
Phosphorus,100%,Heat-stable mineral. USDA Retn06 = 100% w/drippings.
Potassium,100%,"Heat-stable. Leaches readily into water; since water is retained, 100%. USDA Retn06 = 100% w/drippings."
Sodium,100%,Heat-stable. USDA Retn06 = 100% w/drippings.
Zinc,100%,Heat-stable. USDA Retn06 = 100%. Prates et al. 2014 confirmed no significant differences across cooking methods.
Copper,100%,Heat-stable. USDA Retn06 chicken simmered w/drippings = 100%.
Iodine,95%,Volatile under heat; some iodine can be lost via volatilization even when liquid is retained. Estimated 5% thermal loss at low simmering temps. BLS/German data suggest ~90–95% retention for moist heat.
Manganese,100%,Heat-stable mineral. USDA Retn06 = 100%.
Selenium,100%,"Largely heat-stable in protein-bound forms. Dragnes et al. (2009, Food Chemistry) reported selenium retention of 91–104% in poached/boiled fish."
Vitamin A,95%,"Fat-soluble, relatively stable at low heat. USDA Retn06 chicken simmered w/drippings = 80%; however this reflects some fat-drip loss. With water/fat retained and minimum cooking time, thermal degradation alone ~95%."
Vitamin E,90%,"More heat-labile among fat-soluble vitamins. USDA Retn06 data not directly available for this method, but general literature consensus ~85–95% at short moist heat. Estimated 90% for minimum simmering."
Vitamin D,95%,"Highly stable during moist heat. USDA Retn06 = 75% (conservative, includes fat drip); with liquid retained, thermal loss alone is minimal. Jakobsen & Saxholt (2014, Food Chemistry): boiled eggs retained 86–88%; fish boiled retained ~85–95%. With minimum time: 95%."
Thiamin (B1),80%,Most heat-sensitive B vitamin. USDA Retn06 chicken simmered w/drippings = 75%; however this includes leaching. Pure thermal degradation at minimum simmering time ~80%. Murphy et al. (1975) and USDA provide the primary basis.
Riboflavin (B2),100%,Very heat-stable. USDA Retn06 chicken simmered w/drippings = 100%.
Niacin (B3),95%,Heat-stable. USDA Retn06 chicken simmered w/drippings = 95%. Niacin is among the most stable B vitamins.
Pantothenic acid (B5),85%,"Moderate heat sensitivity. USDA Retn06 chicken simmered w/drippings = 65%; leaching is the main loss mechanism. With water retained, thermal degradation only ~85%. Bognar FAO (2002) tables support ~80–90% for moist heat with liquid recovered."
Pyridoxine (B6),80%,Moderately heat-sensitive. USDA Retn06 chicken simmered w/drippings = 65%. Leaching-corrected thermal loss estimated ~80%. Bognar FAO tables: ~75–85%.
Biotin (B7),100%,Very heat-stable. Limited destruction at typical cooking temps. Bognar FAO (2002): biotin retention ~85–100% for boiling. With minimum cooking time: 100%.
Folic acid (B9),85%,"Heat-sensitive and water-soluble. USDA Retn06 chicken simmered w/drippings = 70%; with liquid retained, thermal loss only ~85%. Bognar FAO (2002) and Lifsun (2022) cite 40% retention when liquid is discarded; much higher when retained."
Cobalamin (B12),90%,"Moderately heat-sensitive. USDA Retn06 chicken simmered w/drippings = 65%; leaching is the dominant mechanism. With water retained and minimum time, thermal degradation alone ~90%."
Choline,95%,"Largely heat-stable. USDA Retn06 Release 6: beef/pork simmered ~91–94%. Haytowitz et al. (2007, USDA Release 6): choline retention 91–98% for meat. With liquid retained: 95%."
Vitamin K,95%,"Fat-soluble, relatively stable at low moist heat. Limited direct data; general fat-soluble vitamin stability principles apply. Bognar FAO (2002) tables estimate >90% for minimal moist-heat cooking."
Tryptophan,90%,"Aromatic amino acid; mildly sensitive to heat. Koh et al. (2009, Meat Science): stable at 60°C; slight reduction at 100°C. Estimated 90% for minimum poaching."
Threonine,95%,"Relatively heat-stable. Schweigert et al. (1946, J. Nutrition): no significant loss in cooked meat. Minor losses at higher temps."
Isoleucine,100%,Heat-stable. BCAA; stable through cooking. Schweigert et al. (1946); Bailey et al. (2020).
Leucine,100%,Heat-stable. BCAA; stable through cooking. USDA and multiple meat cooking studies confirm.
Lysine,95%,"Slightly heat-sensitive due to Maillard reactivity, but minimal at <100°C moist heat with short time. Bailey et al. (2020, BJN): lysine stable in boiled/pan-fried meat; slight decline in ground beef. With minimum simmering: 95%."
Methionine,100%,Heat-stable sulphur amino acid. Schweigert et al. (1946): no significant loss during cooking. Multiple studies confirm stability at <100°C.
Cystine,95%,Sulphur-containing; mildly susceptible to oxidation at heat. Minor losses estimated at 5% for minimum simmering. Koh et al. (2009).
Phenylalanine,100%,Aromatic AA; stable at <100°C. Koh et al. (2009): significant changes only at temperatures ≥100°C.
Tyrosine,100%,Aromatic AA; similar to phenylalanine. Stable at low moist-heat temps.
Valine,100%,"BCAA; heat-stable. Wilkinson et al. (2014, Meat Science): valine slight reduction only at higher cooking temps."
Arginine,95%,Moderately heat-sensitive; some degradation via Maillard-adjacent reactions. Bailey et al. (2020): arginine stable in boiled meat. With minimum time: 95%.
Histidine,90%,More susceptible to heat damage than most amino acids; slight oxidative degradation. Dominguez et al. (2015); Bailey et al. (2020): histidine decreased in cooked ground beef.
Taurine,85%,"Note: taurine loss in poaching is primarily leaching, not thermal. Taurine is not thermally destroyed at <100°C (thermal decomposition >300°C per TheCatSite/chemistry refs). However, some very minor heat-induced structural disruption of muscle tissue releases free taurine. Since cooking water is retained, the effective loss is primarily physical (muscle drip). Larsen et al. (2007, Food Chemistry): true retention for boiling of cod = 69–73%; Dragnes et al. (2009): brined samples 83–84%. With water retained, thermal-only degradation is ~85–90%. Spitze et al. (2003, Zoo Biology; PubMed 12864905): confirms water-based cooking yields greater taurine loss; baking/frying have higher retention. Using 85% as conservative estimate for thermal/physical disruption only, since liquid is retained."
"Linoleic acid (LA, 18:2 n-6)",98%,"Relatively stable PUFA at moist low-heat. Minor oxidative loss only. Boiling/steaming causes negligible PUFA oxidation at short cooking times. Choo et al. (2018, Scienceasia)."
"Alpha-linolenic acid (ALA, 18:3 n-3)",95%,"More unsaturated than LA, slightly more susceptible to oxidation. Short moist heat: ~95%. Choo et al. (2018)."
"Arachidonic acid (AA, 20:4 n-6)",95%,"Long-chain PUFA; similar to ALA sensitivity. Stable in moist low-heat conditions. Choo et al. (2018); Bastías et al. (2017, PMC5501645)."
DHA (22:6 n-3),90%,"Highly unsaturated; more susceptible to oxidation but relatively stable in moist heat vs. dry heat. Choo et al. (2018): steaming of low-fat fish retained DHA well; Leung et al. (2018): no significant reduction in PUFA in boiled salmon. With minimum poaching time (low temp, brief): 90%. Suryati et al. (2022, IFRJ) review confirms moist-heat better than dry-heat for EPA/DHA."
EPA (20:5 n-3),90%,"Similar to DHA in heat sensitivity profile. Choo et al. (2018): steaming ~54–60% (low-fat fish, extended cooking); Leung et al. (2018): stable in boiled salmon. Minimum poaching of meat (not fish): ~90%."
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Primary References,,
,,
