score,decision,prep,n_obs,source_dataset,source_food_id,description,reasons
0.0,drop,other,9,sr28,1067,"Cream substitute, liquid, with hydrogenated vegetable oil and soy protein",-imitation -multi-ingredient
0.05,drop,other,26,sr28,25014,"Snacks, popcorn, microwave, regular (butter) flavor, made with partially hydrogenated oil",-dish/prepared
0.05,drop,other,2,sr28,19705,"Puddings, banana, dry mix, instant, with added oil",-dish/prepared
0.05,drop,other,4,sr28,19710,"Puddings, vanilla, dry mix, regular, with added oil",-dish/prepared
0.05,drop,other,19,sr28,19807,"Snacks, popcorn, oil-popped, white popcorn, salt added",-dish/prepared
0.05,drop,other,11,sr28,1068,"Cream substitute, liquid, with lauric acid oil and sodium caseinate",-imitation
0.05,drop,other,5,sr28,4673,"Margarine-like spread, SMART BALANCE Regular Buttery Spread with flax oil",-brand
0.05,drop,other,26,fdc_sr_legacy,174785,"Snacks, popcorn, microwave, regular (butter) flavor, made with partially hydrogenated oil",-dish/prepared
0.05,drop,other,2,sr28,19706,"Puddings, banana, dry mix, regular, with added oil",-dish/prepared
0.05,drop,other,1,fdc_sr_legacy,171010,"Salad dressing, mayonnaise, soybean and safflower oil, with salt",-dish/prepared
0.05,drop,other,20,sr28,19035,"Snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat",-dish/prepared
0.05,drop,other,18,fdc_sr_legacy,167549,"Snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat",-dish/prepared
0.05,drop,other,3,sr28,4026,"Salad dressing, mayonnaise, soybean and safflower oil, with salt",-dish/prepared
0.05,drop,other,5,fdc_sr_legacy,172371,"Margarine-like spread, SMART BALANCE Regular Buttery Spread with flax oil",-brand
0.4,review,other,25,sr28,32021,"Spanish rice mix, dry mix, prepared (with canola/vegetable oil blend or diced tomatoes and margarine)",-multi-ingredient
0.4,review,other,25,fdc_sr_legacy,169777,"Spanish rice mix, dry mix, prepared (with canola/vegetable oil blend or diced tomatoes and margarine)",-multi-ingredient
0.65,keep,other,23,sr28,35142,"Frybread, made with lard (Navajo)",
0.65,keep,other,5,sr28,4575,"Fat, turkey",
0.65,keep,other,13,fdc_sr_legacy,171443,"Mayonnaise, reduced fat, with olive oil",
0.65,keep,other,10,sr28,4631,"Margarine-like, vegetable oil spread, fat-free, tub",
0.65,keep,other,12,fdc_sr_legacy,173588,"Margarine, margarine-type vegetable oil spread, 70% fat, soybean and partially hydrogenated soybean, stick",
0.65,keep,other,4,sr28,4044,"Oil, soybean, salad or cooking",
0.65,keep,other,1,fdc_sr_legacy,171029,"Oil, corn, industrial and retail, all purpose salad or cooking",
0.65,keep,other,1,fdc_sr_legacy,171410,"Oil, peanut, salad or cooking",
0.65,keep,other,2,sr28,4546,"Shortening bread, soybean (hydrogenated) and cottonseed",
0.65,keep,other,2,sr28,42289,"Oil, corn and canola",
0.65,keep,other,23,sr28,25026,"Popcorn, microwave, regular (butter) flavor, made with palm oil",
0.65,keep,other,2,fdc_sr_legacy,171017,"Oil, sunflower, linoleic (less than 60%)",
0.65,keep,other,1,sr28,4534,"Oil, babassu",
0.65,keep,other,2,fdc_sr_legacy,172328,"Oil, sunflower, linoleic, (partially hydrogenated)",
0.65,keep,other,12,sr28,35057,"Oil, bearded seal (Oogruk) (Alaska Native)",
0.65,keep,other,5,fdc_foundation,1750351,"Oil, olive, extra light",
0.65,keep,other,13,sr28,4708,"Mayonnaise, reduced fat, with olive oil",
0.65,keep,other,3,sr28,4501,"Oil, cocoa butter",
0.65,keep,other,2,fdc_foundation,748278,"Oil, canola",
0.65,keep,other,2,sr28,4002,Lard,
0.65,keep,other,1,sr28,4614,"Margarine-like, vegetable oil spread, 60% fat, stick/tub/bottle, with salt",
0.65,keep,other,4,sr28,4576,"Fat, goose",
0.65,keep,other,2,fdc_sr_legacy,169867,"Oil, corn and canola",
0.65,keep,other,22,sr28,35185,"Frybread, made with lard (Apache)",
0.65,keep,other,1,sr28,4529,"Oil, almond",
0.65,keep,other,2,sr28,4517,"Oil, grapeseed",
0.65,keep,other,1,fdc_sr_legacy,171015,"Oil, palm",
0.65,keep,other,10,fdc_sr_legacy,172353,"Margarine-like, vegetable oil spread, fat-free, tub",
